question_id,view_count,answer_count,score,title,tags,link,
,,,,,,,
11227809,1486915,26,24365,Why is processing a sorted array faster than processing an unsorted array?,"java, c++, performance, optimization, branch-prediction",https://stackoverflow.com/questions/11227809/why-is-processing-a-sorted-array-faster-than-processing-an-unsorted-array,
,,,,,,,
927358,8574132,83,20957,How do I undo the most recent local commits in Git?,"git, version-control, git-commit, undo, pre-commit",https://stackoverflow.com/questions/927358/how-do-i-undo-the-most-recent-local-commits-in-git,
,,,,,,,
2003505,8141921,40,16866,How do I delete a Git branch locally and remotely?,"git, version-control, git-branch, git-push, git-remote",https://stackoverflow.com/questions/2003505/how-do-i-delete-a-git-branch-locally-and-remotely,
,,,,,,,
292357,2788682,36,11867,What is the difference between 'git pull' and 'git fetch'?,"git, version-control, git-pull, git-fetch",https://stackoverflow.com/questions/292357/what-is-the-difference-between-git-pull-and-git-fetch,
,,,,,,,
477816,2795063,36,10221,What is the correct JSON content type?,"json, http-headers, content-type",https://stackoverflow.com/questions/477816/what-is-the-correct-json-content-type,
,,,,,,,
231767,2213148,41,10136,"What does the ""yield"" keyword do?","python, iterator, generator, yield, coroutine",https://stackoverflow.com/questions/231767/what-does-the-yield-keyword-do,
,,,,,,,
348170,3054586,32,8913,How do I undo 'git add' before commit?,"git, version-control, git-commit, git-stage",https://stackoverflow.com/questions/348170/how-do-i-undo-git-add-before-commit,
,,,,,,,
1642028,785707,22,8886,"What is the ""-->"" operator in C++?","c++, c, operators, code-formatting, standards-compliance",https://stackoverflow.com/questions/1642028/what-is-the-operator-in-c,
,,,,,,,
6591213,2866475,31,8506,How do I rename a local Git branch?,"git, version-control, git-branch",https://stackoverflow.com/questions/6591213/how-do-i-rename-a-local-git-branch,
,,,,,,,
5767325,6627228,94,8196,How can I remove a specific item from an array?,"javascript, arrays",https://stackoverflow.com/questions/5767325/how-can-i-remove-a-specific-item-from-an-array,
,,,,,,,
79923,1496680,27,8073,What and where are the stack and heap?,"memory-management, stack, language-agnostic, heap, dynamic-memory-allocation",https://stackoverflow.com/questions/79923/what-and-where-are-the-stack-and-heap,
,,,,,,,
503093,6210962,58,7723,How do I redirect to another webpage?,"javascript, jquery, redirect",https://stackoverflow.com/questions/503093/how-do-i-redirect-to-another-webpage,
,,,,,,,
178325,2634402,57,7703,How do I check if an element is hidden in jQuery?,"javascript, jquery, dom, visibility",https://stackoverflow.com/questions/178325/how-do-i-check-if-an-element-is-hidden-in-jquery,
,,,,,,,
179123,2555916,27,7664,"How to modify existing, unpushed commit messages?","git, git-commit, git-rewrite-history, amend",https://stackoverflow.com/questions/179123/how-to-modify-existing-unpushed-commit-messages,
,,,,,,,
